"Electricity final consumption by sector, Argentina, 2024",Value,Year,Units
"Industry",149516,2024,TJ
"Transport",1196,2024,TJ
"Residential",175927,2024,TJ
"Commercial and Public Services",118272,2024,TJ
"Agriculture and forestry",4769,2024,TJ
